Type,SKU,Name,Published,Is featured?,Short description,Description,Tax status,Tax class,Stock,Regular price,Categories,Tags,Shipping class,Images,Download limit,Download expiry days,Product URL,Button text,Position,Attribute 1 name,Attribute 1 value(s),Attribute 2 name,Attribute 2 value(s),Attribute 3 name,Attribute 3 value(s),Weight (kg),Length (cm),Width (cm),Height (cm)
simple,BONSAI-JUN-5Y-001,Japanese Juniper Bonsai (5 Years),1,1,"Stunning Japanese Juniper, perfect for beginners. 5 years old, 25cm height.","The Japanese Juniper (Juniperus procumbens) is one of the most popular bonsai species, known for its hardiness and beautiful green foliage. This 5-year-old specimen has been carefully trained and is perfect for beginners.

**Features:**
- Age: 5 years
- Height: 25cm
- Species: Juniperus procumbens
- Difficulty: Beginner-friendly
- Location: Outdoor bonsai
- Pot included: Traditional ceramic pot

**Care Instructions:**
- Water: Keep soil slightly moist, water when top soil is dry
- Light: Full sun to partial shade
- Temperature: Hardy, can withstand frost
- Pruning: Prune new growth regularly to maintain shape

**Shipping:**
- EU only (live plant shipping restrictions)
- Arrives with care instructions
- Securely packaged for safe delivery

This beautiful juniper makes an excellent first bonsai or addition to any collection.",taxable,,15,89.00,"Live Bonsai Trees","Juniper, Beginner, Outdoor, Evergreen",,,,,,,,Species,Juniper,Age,5 years,Difficulty,Beginner,2,25,20,30
simple,BONSAI-FIC-7Y-002,Chinese Ficus Bonsai (7 Years),1,1,"Beautiful indoor Ficus with aerial roots. 7 years old, 30cm height.","The Chinese Ficus (Ficus retusa) is the perfect indoor bonsai, featuring beautiful aerial roots and glossy dark green leaves. This 7-year-old tree has been professionally trained.

**Features:**
- Age: 7 years
- Height: 30cm
- Species: Ficus retusa
- Difficulty: Beginner-friendly
- Location: Indoor bonsai
- Pot included: Glazed ceramic pot

**Care Instructions:**
- Water: Water when soil surface dries out
- Light: Bright indirect light
- Temperature: 15-25°C, avoid drafts
- Humidity: Mist leaves regularly

**Why Ficus?**
Perfect for beginners because it's very forgiving and tolerates some neglect. Grows quickly and develops beautiful aerial roots over time.

**Shipping:**
- EU only
- Includes species-specific care guide
- Gift wrapping available",taxable,,12,119.00,"Live Bonsai Trees","Ficus, Beginner, Indoor, Tropical",,,,,,,,Species,Ficus,Age,7 years,Difficulty,Beginner,2.5,30,25,35
simple,BONSAI-MAPLE-10Y-003,Japanese Maple Bonsai (10 Years),1,1,"Spectacular Japanese Maple with red leaves. 10 years old, premium quality.","The Japanese Maple (Acer palmatum) is prized for its stunning red and orange foliage, especially in autumn. This 10-year-old specimen is a true masterpiece.

**Features:**
- Age: 10 years
- Height: 35cm
- Species: Acer palmatum
- Difficulty: Intermediate
- Location: Outdoor bonsai
- Premium ceramic pot included

**Seasonal Beauty:**
- Spring: Fresh red leaves
- Summer: Deep burgundy foliage
- Autumn: Brilliant orange and red colors
- Winter: Elegant branch structure

**Care Requirements:**
- Water: Keep soil evenly moist, never dry out
- Light: Partial shade (protect from hot afternoon sun)
- Temperature: Hardy, protect from severe frost
- Feeding: Regular fertilizing during growing season

**Note:** This is an intermediate-level bonsai requiring consistent care and attention.

**Shipping:**
- EU only
- Ships with detailed care calendar
- Professional packaging",taxable,,5,249.00,"Live Bonsai Trees","Maple, Intermediate, Outdoor, Deciduous, Premium",,,,,,,,Species,Maple,Age,10 years,Difficulty,Intermediate,3,35,30,40
